"제어번호","제목","저자","발행처","발행년도","ISBN번호","분류기호","대출횟수"
"000001484855","순례주택 :유은실 소설","유은실 지음","비룡소","2021","9788949123493","8","7"
"000001303893","숨 :테드 창 소설","테드 창 [지음]","엘리 : 북하우스 퍼블리셔스","2019","9791164050277","8","7"
"000001634465","슈퍼노멀 :폭발적 성과를 만드는 평범한 사람들","주언규 지음","웅진지식하우스: 웅진씽크빅","2023","9788901274379","3","7"
"000001031897","신경 끄기의 기술 :인생에서 가장 중요한 것만 남기는 힘","마크 맨슨 지음","갤리온: 웅진씽크빅","2017","9788901219943","1","7"
"000001485583","썬킴의 거침없는 세계사 :세계대전부터 태평양 전쟁, 중국 근대사까지 전쟁으로 읽는 역사 이야기","썬킴 지음","지식의숲 : 넥서스","2021","9791166830518","9","7"
"000001573922","아무에게도 말하지 마 :할런 코벤 장편소설","할런 코벤 지음","비채 : 김영사","2022","9788934942696","8","7"
"000001408543","여름","이디스 워튼 지음","민음사","2020","9788937463686","8","7"
"000001626895","역행자 :돈?시간?운명으로부터 완전한 자유를 얻는 7단계 인생 공략집","자청 지음","웅진지식하우스","2023","9788901272580","3","7"
"000001627924","연수 :장류진 소설집","장류진 지음","창비","2023","9788936439170","8","7"
"000001619912","오스트리아 & 부다페스트 :영화 속 주인공이 되고 싶다! 음악과 낭만의 유럽 중심: 2023~2024 최신판 =Austria & Budapest","조대현 글?사진","해시태그출판사(Hashtag)","2023","9791192472942","9","7"
"000001629806","위기의 역사 :외환위기부터 인플레이션의 부활까지 경제위기의 생성과 소멸 =History of the crisis","오건영 지음","페이지2","2023","9791169850360","3","7"
"000001384465","인스타 브레인 :몰입을 빼앗긴 시대, 똑똑한 뇌 사용법","안데르스 한센 지음","동양북스","2020","9791157686179","5","7"
"000001630317","있을 법한 모든 것 :구병모 소설","구병모 지음","문학동네","2023","9788954694179","8","7"
"000000990278","저주토끼 :정보라 소설집 =Cursed bunny","정보라 지음","아작","2017","9791187206422","8","7"
"000000720138","정리하는 뇌 :디지털 시대, 정보와 선택 과부하로 뒤엉킨 머릿속과 일상을 정리하는 기술","대니얼 J. 레비틴 지음","와이즈베리","2015","9788937837654","1","7"
"000001359084","지적 대화를 위한 넓고 얕은 지식 :0 : 지혜를 찾아 138억 년을 달리는 시간 여행서 .[3]","채사장 지음","웨일북(Whale Books)","2019","9791190313131","0","7"
"000001312347","천년의 질문 :조정래 장편소설 .1","조정래 저","해냄: 해냄출판사","2019","9788965746829","8","7"
"000001627521","최선을 다하면 죽는다","황선우","문학동네","2023","9788954693509","8","7"
"000000947589","타이탄의 도구들 :1만 시간의 법칙을 깬 거인들의 61가지 전략","팀 페리스 지음","토네이도미디어그룹(TORNADO)","2017","9791158510619","3","7"
"000001522638","테라피스트 :B.A. 패리스 장편소설","B.A. 패리스 지음","모모","2021","9791191043518","8","7"
"000000158623","토지 :박경리 대하소설 .1 ,제1부 1권","박경리 지음","마로니에북스","2012","9788960532410","8","7"
"000001642991","파견자들 :김초엽 장편소설","김초엽 지음","퍼블리온","2023","9791191587524","8","7"
"000001564118","파친코 :이민진 장편소설 .2","이민진 지음","인플루엔셜","2022","9791168340541","8","7"
"000001642099","푸틴을 죽이는 완벽한 방법 :김진명 장편소설","김진명 지음","이타북스","2023","9791167763983","8","7"
"000000933044","피프티 피플 :정세랑 장편소설","정세랑 지음","창비","2016","9788936434243","8","7"
"000001384504","현명한 투자자 :벤저민 그레이엄 직접 쓴 마지막 개정판 .1","벤저민 그레이엄 지음","국일증권경제연구소 : 국일미디어","2020","9788957821305","3","7"
"000001648100","흔한남매 오해요 :귀염 뽀짝 부캐들과 펼치는 초단편 콩트 만화","흔한남매 원작","Mirae N 아이세움 : 미래엔","2022","9791168410930","8","7"
"000001589656","희망의 끈","히가시노 게이고 지음","재인","2022","9791192483146","8","7"
"000001047799","('전업투자의 전설' 남석관의) 실전 투자의 정석 =(The) practical guide to stock investing","남석관 지음","프롬북스","2018","9791188167128","3","6"
"000001582847","(365일 인생의 내공을 기르는) 하루 한 장 고전 수업","조윤제 지음","비즈니스북스","2022","9791162543146","1","6"
"000000428804","(A)history of the modern Middle East",": William L. Cleveland","Westview Press","2009","9780813343747","9","6"
"000001627971","(Getting started with) natural language processing","[by] Ekaterina Kochmar","Manning","2022","9781617296765","0","6"
"000001645797","(고양이 해결사) 깜냥 :홍민정 동화 .6 ,하품이의 가족을 찾아라!","홍민정 지음","창비","2023","9788936448523","8","6"
"000001591380","(내멋대로) 반려동물 뽑기","최은옥 글","주니어김영사: 김영사","2020","9788934991991","8","6"
"000001590501","(보도 섀퍼) 부의 레버리지 :경제적 자유로 가는 가장 빠르고 확실한 길","보도 섀퍼 지음","비즈니스북스","2023","9791162543269","3","6"
"000001641789","(요즘 어른을 위한) 최소한의 세계사","임소미 지음","빅피시","2023","9791193128428","9","6"
"000001652449","(처음 읽는) 그리스 로마 신화 .5 ,별자리 이야기 =First Greek mythology","최설희 글","Mirae N 아이세움 : 미래엔","2021","9791164138920","2","6"
